day,Q5.count
2019-01-22,5678
2019-01-23,5652
2019-01-24,4272
2019-01-25,3000
2019-01-26,2823
2019-01-27,3097
2019-01-28,2233
2019-01-29,1939
2019-01-30,2238
2019-01-31,2142
2019-02-01,1663
2019-02-02,1419
2019-02-03,2595
2019-02-04,2033
2019-02-05,1454
2019-02-06,1469
2019-02-07,1447
2019-02-08,1139
2019-02-09,1254
2019-02-10,1904
2019-02-11,1171
2019-02-12,842
2019-02-13,1106
2019-02-14,1023
2019-02-15,1257
2019-02-16,1227
2019-02-17,1468
2019-02-18,1360
2019-02-19,1564
2019-02-20,1399
2019-02-21,1526
2019-02-22,1389
2019-02-23,1197
2019-02-24,1751
2019-02-25,1384
2019-02-26,1209
2019-02-27,1437
2019-02-28,1602
2019-03-01,1552
2019-03-02,1923
2019-03-03,3173
2019-03-04,2368
2019-03-05,1670
2019-03-06,2001
2019-03-07,2015
2019-03-08,1726
2019-03-09,2506
2019-03-10,6414
2019-03-11,4923
2019-03-12,3752
2019-03-13,4373
2019-03-14,5244
2019-03-15,5970
2019-03-16,2286
2019-03-17,3302
2019-03-18,2629
