day,nb_words
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,6
2019-01-22,15
2019-01-22,82
2019-01-22,9
2019-01-22,18
2019-01-22,0
2019-01-22,20
2019-01-22,48
2019-01-22,0
2019-01-22,13
2019-01-22,13
2019-01-22,9
2019-01-22,5
2019-01-22,75
2019-01-22,4
2019-01-22,18
2019-01-22,6
2019-01-22,13
2019-01-22,9
2019-01-22,0
2019-01-22,6
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,17
2019-01-22,10
2019-01-22,5
2019-01-22,0
2019-01-22,34
2019-01-22,10
2019-01-22,22
2019-01-22,22
2019-01-22,6
2019-01-22,10
2019-01-22,9
2019-01-22,0
2019-01-22,13
2019-01-22,32
2019-01-22,0
2019-01-22,0
2019-01-22,9
2019-01-22,23
2019-01-22,0
2019-01-22,29
2019-01-22,3
2019-01-22,12
2019-01-22,0
2019-01-22,5
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,15
2019-01-22,5
2019-01-22,13
2019-01-22,0
2019-01-22,0
2019-01-22,11
2019-01-22,56
2019-01-22,36
2019-01-22,18
2019-01-22,9
2019-01-22,0
2019-01-22,0
2019-01-22,26
2019-01-22,0
2019-01-22,0
2019-01-22,22
2019-01-22,45
2019-01-22,8
2019-01-22,15
2019-01-22,8
2019-01-22,15
2019-01-22,17
2019-01-22,5
2019-01-22,5
2019-01-22,40
2019-01-22,40
2019-01-22,40
2019-01-22,12
2019-01-22,20
2019-01-22,0
2019-01-22,10
2019-01-22,14
2019-01-22,56
2019-01-22,11
2019-01-22,16
2019-01-22,0
2019-01-22,0
2019-01-22,8
2019-01-22,24
2019-01-22,27
2019-01-22,47
2019-01-22,34
2019-01-22,0
2019-01-22,68
2019-01-22,0
2019-01-22,10
2019-01-22,3
2019-01-22,23
2019-01-22,11
2019-01-22,69
2019-01-22,1
2019-01-22,0
2019-01-22,0
2019-01-22,73
2019-01-22,0
2019-01-22,23
2019-01-22,0
2019-01-22,4
2019-01-22,168
2019-01-22,9
2019-01-22,18
2019-01-22,6
2019-01-22,29
2019-01-22,0
2019-01-22,30
2019-01-22,31
2019-01-22,52
2019-01-22,45
2019-01-22,23
2019-01-22,25
2019-01-22,0
2019-01-22,17
2019-01-22,9
2019-01-22,0
2019-01-22,29
2019-01-22,19
2019-01-22,13
2019-01-22,22
2019-01-22,18
2019-01-22,0
2019-01-22,36
2019-01-22,0
2019-01-22,18
2019-01-22,13
2019-01-22,85
2019-01-22,13
2019-01-22,0
2019-01-22,5
2019-01-22,21
2019-01-22,21
2019-01-22,17
2019-01-22,9
2019-01-22,42
2019-01-22,249
2019-01-22,6
2019-01-22,23
2019-01-22,15
2019-01-22,8
2019-01-22,20
2019-01-22,59
2019-01-22,6
2019-01-22,8
2019-01-22,14
2019-01-22,20
2019-01-22,34
2019-01-22,29
2019-01-22,27
2019-01-22,2
2019-01-22,16
2019-01-22,22
2019-01-22,9
2019-01-22,22
2019-01-22,6
2019-01-22,0
2019-01-22,20
2019-01-22,14
2019-01-22,14
2019-01-22,6
2019-01-22,6
2019-01-22,30
2019-01-22,77
2019-01-22,5
2019-01-22,21
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,21
2019-01-22,3
2019-01-22,71
2019-01-22,21
2019-01-22,10
2019-01-22,36
2019-01-22,4
2019-01-22,4
2019-01-22,16
2019-01-22,4
2019-01-22,53
2019-01-22,208
2019-01-22,28
2019-01-22,20
2019-01-22,6
2019-01-22,44
2019-01-22,12
2019-01-22,13
2019-01-22,28
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,0
2019-01-22,7
2019-01-22,18
2019-01-22,0
2019-01-22,5
2019-01-22,23
2019-01-22,11
2019-01-22,22
2019-01-22,19
2019-01-22,0
2019-01-22,16
2019-01-22,51
2019-01-22,25
2019-01-22,17
2019-01-22,10
2019-01-22,11
2019-01-22,13
2019-01-22,0
2019-01-22,52
2019-01-22,22
2019-01-22,18
2019-01-22,6
2019-01-22,25
2019-01-22,0
2019-01-22,27
2019-01-22,28
2019-01-22,8
2019-01-22,2
2019-01-22,28
2019-01-22,21
2019-01-22,18
2019-01-22,3
2019-01-22,64
2019-01-22,16
2019-01-22,19
2019-01-22,0
2019-01-22,0
2019-01-22,19
2019-01-22,15
2019-01-22,4
2019-01-22,32
2019-01-22,6
2019-01-22,8
2019-01-22,8
2019-01-22,56
2019-01-22,25
2019-01-22,39
2019-01-22,18
2019-01-22,15
2019-01-22,9
2019-01-22,88
2019-01-22,11
2019-01-22,7
2019-01-22,55
2019-01-22,0
2019-01-22,87
2019-01-22,38
2019-01-22,26
2019-01-22,4
2019-01-22,11
2019-01-22,30
2019-01-22,22
2019-01-22,0
2019-01-22,9
2019-01-22,21
2019-01-22,38
2019-01-22,0
2019-01-22,6
2019-01-22,61
2019-01-22,0
2019-01-22,75
2019-01-22,32
2019-01-22,12
2019-01-22,15
2019-01-22,20
2019-01-22,7
2019-01-22,9
2019-01-22,15
2019-01-22,51
2019-01-22,9
2019-01-22,35
2019-01-22,26
2019-01-22,11
2019-01-22,4
2019-01-22,0
2019-01-22,66
2019-01-22,5
2019-01-22,12
2019-01-22,10
2019-01-22,3
2019-01-22,12
2019-01-22,17
2019-01-22,9
2019-01-22,45
2019-01-22,0
2019-01-22,8
2019-01-22,18
2019-01-22,17
2019-01-22,28
2019-01-22,24
2019-01-22,0
2019-01-22,40
2019-01-22,18
2019-01-22,4
2019-01-22,22
2019-01-22,45
2019-01-22,8
2019-01-22,12
2019-01-22,11
2019-01-22,0
2019-01-22,6
2019-01-22,11
2019-01-22,19
2019-01-22,27
2019-01-22,26
2019-01-22,0
2019-01-22,27
2019-01-22,25
2019-01-22,0
2019-01-22,55
2019-01-22,15
2019-01-22,33
2019-01-22,2
2019-01-22,0
2019-01-22,19
2019-01-22,64
2019-01-22,0
2019-01-22,66
2019-01-22,20
2019-01-22,0
2019-01-22,40
2019-01-22,34
2019-01-22,84
2019-01-22,0
2019-01-22,0
2019-01-22,13
2019-01-22,17
2019-01-22,17
2019-01-22,4
2019-01-22,0
2019-01-22,4
2019-01-22,9
2019-01-22,0
2019-01-22,30
2019-01-22,8
2019-01-22,7
2019-01-22,0
2019-01-22,44
2019-01-22,0
2019-01-22,0
2019-01-22,20
2019-01-22,20
2019-01-22,21
2019-01-22,0
2019-01-22,9
2019-01-22,0
2019-01-22,33
2019-01-22,22
2019-01-22,34
2019-01-22,0
2019-01-22,24
2019-01-22,29
2019-01-22,19
2019-01-22,13
2019-01-22,1
2019-01-22,81
2019-01-22,2
2019-01-22,23
2019-01-22,20
2019-01-22,9
2019-01-22,0
2019-01-22,34
2019-01-22,27
2019-01-22,5
2019-01-22,7
2019-01-22,22
2019-01-22,0
2019-01-22,3
2019-01-22,20
2019-01-22,31
2019-01-22,0
2019-01-22,0
2019-01-22,93
2019-01-22,4
2019-01-22,28
2019-01-22,15
2019-01-22,35
2019-01-22,9
2019-01-22,0
2019-01-22,2
2019-01-22,4
2019-01-22,15
2019-01-22,0
2019-01-22,0
2019-01-22,12
2019-01-22,18
2019-01-22,13
2019-01-22,8
2019-01-22,20
2019-01-22,0
2019-01-22,11
2019-01-22,30
2019-01-22,15
2019-01-22,33
2019-01-22,70
2019-01-22,23
2019-01-22,51
2019-01-22,29
2019-01-22,34
2019-01-22,0
2019-01-22,46
2019-01-22,0
2019-01-22,22
2019-01-22,6
2019-01-22,0
2019-01-22,2
2019-01-22,12
2019-01-22,11
2019-01-22,8
2019-01-22,0
2019-01-22,42
2019-01-22,26
2019-01-22,0
2019-01-22,19
2019-01-22,27
2019-01-22,2
2019-01-22,23
2019-01-22,4
2019-01-22,0
2019-01-22,0
2019-01-22,42
2019-01-22,0
2019-01-22,0
2019-01-22,15
2019-01-22,19
2019-01-22,16
2019-01-22,15
2019-01-22,11
2019-01-22,46
2019-01-22,36
2019-01-22,17
