,Q_107,Q_109,Q_110,Q_112,Q_113,Q_115,Q_116,Q_118,Q_119,Q_121,Q_122,Q_123,Q_125,Q_127,Q_128,Q_129,Q_130,Q_131,Q_132,Q_133,Q_134,Q_135,Q_136,Q_137,Q_139,Q_141,Q_142,Q_143,Q_144,Q_145,Q_147,Q_149,Q_150,Q_151,Q_153,Q_155,Q_157,Q_158,Q_159,Q_161,Q_162,Q_163,Q_164,Q_165,Q_166,Q_167,Q_169,Q_171,Q_172,Q_174,Q_177,Q_178,Q_179,Q_182,Q_183,Q_185,Q_187,Q_188,Q_189,Q_191,Q_192,Q_193,Q_194,Q_195,Q_196,Q_198,Q_199,Q_200,Q_201,Q_202,Q_203,Q_205
1,1946,582,250,98,1227,1029,266,264,1151,269,1455,709,578,565,762,668,811,842,1021,443,1263,1141,2090,1008,393,446,9456,446,719,1764,606,161,498,816,497,369,2601,509,1173,106,605,160,3302,4247,7378,979,365,312,601,1399,312,3264,2148,311,1413,252,310,331,544,1047,887,909,784,1007,1223,864,929,1006,975,996,1120,2747
2,3250,739,407,128,1377,1232,1440,439,784,311,960,470,1055,319,842,904,1299,783,726,532,1282,1310,1686,708,487,512,871,637,795,126,1003,481,1103,1009,1459,516,5671,1583,153,236,660,465,2792,5439,3269,186,421,479,511,576,272,2278,2360,260,421,263,442,316,94,850,749,756,561,599,1033,719,701,698,660,671,777,1592
3,1233,662,775,447,1648,1558,680,700,958,562,1067,793,1880,538,1008,1016,1341,898,880,666,1898,1289,1771,1124,1130,528,718,923,939,203,1480,738,1236,1173,1587,882,3104,1011,278,645,1009,621,1944,3617,3049,230,804,607,548,602,400,1344,1566,165,517,676,745,664,99,173,265,201,304,564,158,153,140,112,175,126,73,1378
4,984,601,658,497,2218,1308,1855,876,893,710,1018,1031,982,694,1069,1159,1523,959,959,857,1382,1247,1468,1023,993,600,757,721,967,226,1303,908,2034,1182,1317,1294,2557,1253,347,831,935,863,3440,3181,2799,366,650,644,519,673,360,1516,1448,152,506,685,684,705,127,176,249,202,307,414,102,140,134,91,138,101,50,1348
5,1371,533,728,709,1689,1074,906,807,927,733,914,754,779,819,1052,996,1293,765,688,827,1120,967,1151,843,788,582,687,717,806,276,1221,1026,1676,1142,1261,1156,2579,915,357,891,1035,856,2021,2893,2354,419,690,576,436,513,422,1070,1144,137,475,576,637,708,124,162,221,187,293,410,109,176,107,76,121,75,39,1259
6,1075,604,786,910,1337,1028,966,939,871,744,870,800,808,839,984,941,1246,798,695,846,1169,1030,1023,871,864,527,665,682,781,253,1317,1107,1339,1279,1134,948,1681,1040,347,893,1197,881,1931,2209,2064,475,736,639,431,560,429,901,918,141,456,665,720,710,135,172,196,184,340,444,69,124,104,61,105,60,28,1316
7,1005,586,828,928,1213,821,856,958,829,701,901,746,749,902,965,936,1288,746,666,847,1002,890,882,823,833,567,647,717,801,255,1347,1150,1262,1157,1127,1015,1486,1067,416,892,1380,937,2332,1941,1744,516,726,525,413,557,429,839,762,109,418,630,687,736,268,143,175,160,316,353,81,129,118,72,98,72,29,1246
8,1038,587,847,1087,1070,776,870,900,792,658,937,735,721,888,939,906,1095,737,635,914,1014,856,815,768,781,558,617,706,707,250,1198,1293,1221,1120,1090,887,1118,1090,467,935,1485,1044,2517,1622,1550,595,662,565,378,527,468,749,683,93,420,599,713,688,170,155,194,192,318,307,81,138,103,61,95,55,21,1205
9,1034,549,852,1102,944,807,967,832,833,614,832,725,674,781,869,848,1074,723,586,803,894,796,707,666,761,575,621,738,774,252,1125,1274,1135,1046,1032,890,954,1187,457,1004,1485,1113,1690,1447,1379,659,679,480,325,524,379,693,583,80,401,590,673,735,184,177,172,168,306,328,89,145,114,71,87,59,18,1193
10,972,558,788,1156,797,739,843,896,788,632,874,732,637,789,853,849,939,670,610,800,869,756,628,705,730,594,585,692,800,283,1096,1242,1121,1036,971,813,862,1155,484,969,1518,1129,1413,1311,1185,716,628,461,337,505,409,621,504,69,359,555,681,683,140,161,155,187,294,311,75,123,80,60,79,62,21,1201
11,936,558,791,1148,743,677,911,835,776,617,790,718,620,764,824,765,846,632,557,818,747,699,615,629,676,561,575,745,764,266,1036,1239,1077,1040,864,724,790,1205,515,966,1446,1116,1359,1115,1146,684,638,487,319,474,353,544,438,74,345,539,625,630,189,157,163,191,307,327,70,130,97,56,76,53,14,1056
12,894,528,777,1031,695,646,754,810,749,542,805,687,699,709,751,782,747,608,491,764,721,646,562,625,641,562,563,670,791,294,948,1207,1051,1036,835,722,687,1105,560,969,1433,1122,1236,965,1026,724,583,399,291,454,336,470,469,59,313,503,592,605,145,140,184,172,284,278,95,109,94,63,49,50,15,1108
13,829,559,829,996,625,581,744,770,711,541,737,594,539,671,678,717,691,559,494,705,619,608,481,588,620,578,474,689,748,296,854,1215,1026,917,823,661,630,1022,575,884,1390,1126,1243,965,997,681,621,391,299,430,327,437,408,69,305,474,557,559,188,137,172,181,300,280,70,126,85,47,76,51,15,1055
14,724,502,733,900,598,544,722,780,699,488,641,632,529,650,686,624,605,600,464,710,648,604,405,510,530,607,439,655,695,297,813,1128,979,922,720,622,580,1057,578,894,1420,1072,1179,892,924,715,582,354,266,377,317,435,363,57,309,427,555,529,182,141,159,195,242,282,71,83,92,47,73,57,8,970
15,684,456,739,859,569,522,730,712,660,455,655,568,469,656,627,655,600,548,436,672,557,508,377,504,538,547,437,608,628,279,754,1123,901,899,683,633,603,968,521,833,1287,1015,1037,768,831,774,581,354,246,376,265,360,331,66,299,381,470,546,189,135,139,177,238,260,76,102,74,49,63,41,11,1014
